,INPUT_DESCRIPTION,MEASUREMENT_TIME,VALUE
0,Battery Tag,2020-11-20 07:20:53.332,4
1,Battery Designed Capacity (mWh) ,2020-11-20 07:20:53.332,70000
2,Battery Full Charged Capacity (mWh),2020-11-20 07:20:53.332,69680
3,Battery Cycle Count,2020-11-20 07:20:53.332,12
4,Battery Left (%).,2020-11-20 07:20:53.399,98
5,Battery Flag,2020-11-20 07:20:53.399,9
6,Battery Life Time (Seconds).,2020-11-20 07:20:53.399,4294967295
7,Battery Charging.,2020-11-20 07:20:53.399,1
8,Battery Discharging.,2020-11-20 07:20:53.399,0
9,Battery MaxCapacity (mWh).,2020-11-20 07:20:53.399,69680
10,Battery estimatedTime (Seconds).,2020-11-20 07:20:53.399,4294967295
11,Battery Current Capacity (mWh),2020-11-20 07:20:53.399,68380
12,Battery Voltage (mv),2020-11-20 07:20:53.399,17375
13,Battery Rate (mW),2020-11-20 07:20:53.399,5803
14,Battery Tag,2020-11-20 07:21:23.331,4
15,Battery Designed Capacity (mWh) ,2020-11-20 07:21:23.331,70000
16,Battery Full Charged Capacity (mWh),2020-11-20 07:21:23.331,69680
17,Battery Cycle Count,2020-11-20 07:21:23.331,12
18,Battery Left (%).,2020-11-20 07:21:23.396,98
19,Battery Flag,2020-11-20 07:21:23.396,9
20,Battery Life Time (Seconds).,2020-11-20 07:21:23.396,4294967295
21,Battery Charging.,2020-11-20 07:21:23.396,1
22,Battery Discharging.,2020-11-20 07:21:23.396,0
23,Battery MaxCapacity (mWh).,2020-11-20 07:21:23.396,69680
24,Battery estimatedTime (Seconds).,2020-11-20 07:21:23.396,4294967295
25,Battery Current Capacity (mWh),2020-11-20 07:21:23.396,68420
26,Battery Voltage (mv),2020-11-20 07:21:23.396,17375
27,Battery Rate (mW),2020-11-20 07:21:23.396,5699
28,Battery Tag,2020-11-20 07:21:53.330,4
29,Battery Designed Capacity (mWh) ,2020-11-20 07:21:53.330,70000
30,Battery Full Charged Capacity (mWh),2020-11-20 07:21:53.330,69680
31,Battery Cycle Count,2020-11-20 07:21:53.330,12
32,Battery Left (%).,2020-11-20 07:21:53.397,98
33,Battery Flag,2020-11-20 07:21:53.397,9
34,Battery Life Time (Seconds).,2020-11-20 07:21:53.397,4294967295
35,Battery Charging.,2020-11-20 07:21:53.397,1
36,Battery Discharging.,2020-11-20 07:21:53.397,0
37,Battery MaxCapacity (mWh).,2020-11-20 07:21:53.397,69680
38,Battery estimatedTime (Seconds).,2020-11-20 07:21:53.397,4294967295
39,Battery Current Capacity (mWh),2020-11-20 07:21:53.397,68450
40,Battery Voltage (mv),2020-11-20 07:21:53.397,17375
41,Battery Rate (mW),2020-11-20 07:21:53.397,5577
42,Battery Tag,2020-11-20 07:22:23.329,4
43,Battery Designed Capacity (mWh) ,2020-11-20 07:22:23.329,70000
44,Battery Full Charged Capacity (mWh),2020-11-20 07:22:23.329,69680
45,Battery Cycle Count,2020-11-20 07:22:23.329,12
46,Battery Left (%).,2020-11-20 07:22:23.395,98
47,Battery Flag,2020-11-20 07:22:23.395,9
48,Battery Life Time (Seconds).,2020-11-20 07:22:23.395,4294967295
49,Battery Charging.,2020-11-20 07:22:23.395,1
50,Battery Discharging.,2020-11-20 07:22:23.395,0
51,Battery MaxCapacity (mWh).,2020-11-20 07:22:23.395,69680
52,Battery estimatedTime (Seconds).,2020-11-20 07:22:23.395,4294967295
