,load_ts,batch_id,audit_zip,audit_internal_path,guid,interval_start_utc,interval_end_utc,interval_local_start,interval_local_end,dt,name,instance,nrs,mean,histogram_min,histogram_max,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,metric_max_val
2,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:C0:PERCENT:,1,5325,39.46,0,100,24,593,1258,1154,871,679,418,212,99,17,99.246
3,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:C0:PERCENT:,2,5325,42.33,0,100,8,177,1330,1283,950,702,484,249,109,33,99.681
4,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:C0:PERCENT:,3,5325,37.62,0,100,56,1038,1100,1016,727,612,416,220,123,17,99.546
5,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:C0:PERCENT:,4,5325,37.08,0,100,57,1116,1233,952,556,496,505,282,100,28,99.492
6,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:TEMPERATURE:CENTIGRADE:,1,5350,54.58,0,100,1,0,2,68,1964,1920,1081,299,14,1,91.0
7,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:TEMPERATURE:CENTIGRADE:,2,5350,56.25,0,100,1,0,2,29,1863,1818,1152,452,33,0,89.0
8,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:TEMPERATURE:CENTIGRADE:,3,5350,54.36,0,100,1,0,2,32,1893,2130,1088,199,5,0,84.0
9,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-26 03:08:20,20200825-200235,2020082503-i-0728cf8ab79db9e58-wVi3in0fekkKtenJYOOVwP1hzfKSFcUN,V8HWMETRICHISTO_20200824231720.V8,2020-08-24 02:40:47,2020-08-25 03:17:55,2020-08-23 22:40:47,2020-08-24 23:17:55,HW::CORE:TEMPERATURE:CENTIGRADE:,4,5350,54.04,0,100,1,0,3,58,2097,2000,905,253,33,0,86.0
12,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-27 03:08:33,20200826-200231,2020082603-i-040171543e1bfef37-sxX2ZIICAr90O9meTKX3qIP8mGfBg5co,V8HWMETRICHISTO_20200825231721.V8,2020-08-25 03:17:54,2020-08-26 03:17:58,2020-08-24 23:17:54,2020-08-25 23:17:58,HW::CORE:C0:PERCENT:,1,500,35.38000000000001,0,100,0,0,181,203,68,30,10,6,1,1,96.148
13,2020-08-24,0005f05e840148d99ae90ae87d2310d5,2020-08-27 03:08:33,20200826-200231,2020082603-i-040171543e1bfef37-sxX2ZIICAr90O9meTKX3qIP8mGfBg5co,V8HWMETRICHISTO_20200825231721.V8,2020-08-25 03:17:54,2020-08-26 03:17:58,2020-08-24 23:17:54,2020-08-25 23:17:58,HW::CORE:C0:PERCENT:,2,500,36.48,0,100,0,15,164,182,64,41,21,9,2,2,96.615
